scripts/tests/test-release-distribution-license.sh:35	rg	rg -Fq '`@bytecodealliance/preview2-shim`' "$closure_dir/npm.md"
scripts/tests/test-release-distribution-license.sh:44	rg	rg -Fq 'scripts/stage-distribution-legal.sh "$staging"' "$workflow"
scripts/tests/test-release-distribution-license.sh:45	rg	rg -Fq 'scripts/stage-distribution-legal.sh stage' "$workflow"
scripts/tests/test-release-installer-powershell-contract.sh:8	rg	rg -q '\[switch\]\$PrintAsset' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:9	rg	rg -q '\[switch\]\$PrintUrl' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:10	rg	rg -q "SHEPHERD_VERSION" "$script"
scripts/tests/test-release-installer-powershell-contract.sh:11	rg	rg -q "latest/download" "$script"
scripts/tests/test-release-installer-powershell-contract.sh:12	rg	rg -q 'download/v\$version' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:13	rg	rg -q "Get-FileHash.*SHA256" "$script"
scripts/tests/test-release-installer-powershell-contract.sh:14	[[	[[ "$(rg -c 'Invoke-WebRequest .* -UseBasicParsing' "$script")" == 2 ]]
scripts/tests/test-release-installer-powershell-contract.sh:15	rg	rg -Fq "'.shepherd.' + [guid]::NewGuid().ToString('N') + '.backup.exe'" "$script"
scripts/tests/test-release-installer-powershell-contract.sh:16	rg	rg -Fq '[System.IO.File]::Replace($Ready, $Destination, $backup)' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:17	rg	rg -Fq 'Restore-ReplacementFailure -Ready $Ready -Destination $Destination -Backup $backup' "$sc
scripts/tests/test-release-installer-powershell-contract.sh:18	rg	rg -Fq '[System.IO.File]::Move($Backup, $Destination)' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:19	rg	rg -Fq "\$readyDisposition = 'preserve'" "$script"
scripts/tests/test-release-installer-powershell-contract.sh:20	rg	rg -Fq '$replaceFailed = $true' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:21	rg	rg -Fq "if (\$backupDisposition -ceq 'delete' -and -not \$replaceFailed)" "$script"
scripts/tests/test-release-installer-powershell-contract.sh:22	rg	rg -Fq "return 'destination-unproven'" "$script"
scripts/tests/test-release-installer-powershell-contract.sh:23	rg	rg -Fq 'preserved recovery paths:' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:24	rg	rg -Fq 'Write-Warning "installed' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:37	rg	rg -Fq '[System.IO.FileAttributes]::Directory' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:38	rg	rg -Fq '[System.IO.FileAttributes]::ReparsePoint' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:39	rg	rg -q "SHEPHERD_FORCE" "$script"
scripts/tests/test-release-installer-powershell-contract.sh:40	rg	rg -q 'release archive must contain shepherd.exe, LICENSE, THIRD_PARTY_NOTICES.md, and THIRD_PAR
scripts/tests/test-release-installer-powershell-contract.sh:41	rg	rg -q 'Windows ARM64 release asset is not published' "$script"
scripts/tests/test-release-installer-powershell-contract.sh:42	rg	rg -q 'RuntimeInformation\]::OSArchitecture' "$script"
scripts/tests/test-release-installers.sh:16	rg	rg -Fq 'ready=$(mktemp "$destination_dir/.shepherd-ready.XXXXXX")' "$installer"
scripts/tests/test_cli_authority_gate.sh:57	rg	rg -q 'plan_lifecycle' "$claude_hook"
scripts/tests/test_cli_authority_gate.sh:58	rg	rg -q 'DispatchService::with_context' "$claude_hook"
scripts/tests/test_cli_authority_gate.sh:59	rg	rg -q 'GuardValue::from' "$claude_hook"
scripts/tests/test_cli_authority_gate.sh:65	rg	rg -q 'SHEPHERD_NATIVE_BIN' "$transport"
scripts/tests/test_cli_authority_gate.sh:66	rg	rg -q '[:?] "shepherd"' "$transport"
